# real,imag
-4.306604429948406032e-02,-8.478889122907908027e-02
-4.311403594594373501e-02,-8.449512465298346375e-02
-4.316162074604520948e-02,-8.420280956970217778e-02
-4.320880321425411841e-02,-8.391193395980749148e-02
-4.325558780254547264e-02,-8.362248593323655388e-02
-4.330197890139973055e-02,-8.333445372757909697e-02
-4.334798084086573938e-02,-8.304782570634247629e-02
-4.339359789149511287e-02,-8.276259035731503566e-02
-4.343883426535932735e-02,-8.247873629091126424e-02
-4.348369411692862285e-02,-8.219625223854624962e-02
-4.352818154437136655e-02,-8.191512705103481951e-02
-4.357230058967734992e-02,-8.163534969705711630e-02
-4.361605524043320192e-02,-8.135690926154898195e-02
-4.365944943021329155e-02,-8.107979494426011124e-02
-4.370248703957788083e-02,-8.080399605819109377e-02
-4.374517189690943497e-02,-8.052950202815450931e-02
-4.378750777926294219e-02,-8.025630238931048821e-02
-4.382949841317934636e-02,-7.998438678574354421e-02
-4.387114747548556681e-02,-7.971374496904864992e-02
-4.391245859409911856e-02,-7.944436679694978631e-02
-4.395343534879061348e-02,-7.917624223193664434e-02
-4.399408127195413021e-02,-7.890936133991539869e-02
-4.403439984935214602e-02,-7.864371428889020688e-02
-4.407439452085394616e-02,-7.837929134765520001e-02
-4.411406868114589597e-02,-7.811608288451407645e-02
-4.415342568045069888e-02,-7.785407936601569656e-02
-4.419246882521626896e-02,-7.759327135570991130e-02
-4.423120137880043323e-02,-7.733364951291697709e-02
-4.426962656213980635e-02,-7.707520459152189529e-02
-4.430774755440698015e-02,-7.681792743878214369e-02
-4.434556749365606287e-02,-7.656180899415757080e-02
-4.438308947745833732e-02,-7.630684028815593045e-02
-4.442031656352451313e-02,-7.605301244119286319e-02
-4.445725177031768088e-02,-7.580031666247337430e-02
-4.449389807765364441e-02,-7.554874424888297080e-02
-4.453025842729035899e-02,-7.529828658390354257e-02
-4.456633572350540695e-02,-7.504893513653984605e-02
-4.460213283367289033e-02,-7.480068146026629117e-02
-4.463765258881687015e-02,-7.455351719197858551e-02
-4.467289778416123208e-02,-7.430743405097504917e-02
-4.470787117967276597e-02,-7.406242383794237050e-02
-4.474257550059001359e-02,-7.381847843396038833e-02
-4.477701343793981381e-02,-7.357558979951693556e-02
-4.481118764905792085e-02,-7.333374997355111835e-02
-4.484510075808760543e-02,-7.309295107248794943e-02
-4.487875535648017111e-02,-7.285318528930748161e-02
-4.491215400346151854e-02,-7.261444489260299173e-02
-4.494529922654516563e-02,-7.237672222569108138e-02
-4.497819352195855935e-02,-7.214000970569224569e-02
-4.501083935510913347e-02,-7.190429982261208053e-02
-4.504323916114010701e-02,-7.166958513872169478e-02
-4.507539534517161078e-02,-7.143585828711046526e-02
-4.510731028294973077e-02,-7.120311197149079008e-02
-4.513898632114935611e-02,-7.097133896497954952e-02
-4.517042577782813539e-02,-7.074053210938809066e-02
-4.520163094285603589e-02,-7.051068431437225448e-02
-4.523260407831899282e-02,-7.028178855665936919e-02
-4.526334741890769564e-02,-7.005383787924285288e-02
-4.529386317233412285e-02,-6.982682539059505145e-02
-4.532415351970143363e-02,-6.960074426390921998e-02
-4.535422061589591131e-02,-6.937558773633854814e-02
-4.538406658996287785e-02,-6.915134910824208281e-02
-4.541369354547662718e-02,-6.892802174245486746e-02
-4.544310356089843045e-02,-6.870559906355434843e-02
-4.547229868993576951e-02,-6.848407455714404513e-02
-4.550128096189674787e-02,-6.826344176914578288e-02
-4.553005238203814559e-02,-6.804369430510623373e-02
-4.555861493189453104e-02,-6.782482582950234706e-02
-4.558697056962834199e-02,-6.760683006506280901e-02
-4.561512123034651423e-02,-6.738970079210547526e-02
-4.564306882642518021e-02,-6.717343184786803145e-02
-4.567081524783549173e-02,-6.695801712586026133e-02
-4.569836236244826516e-02,-6.674345057522208802e-02
-4.572571201634805654e-02,-6.652972620008808236e-02
-4.575286603413625253e-02,-6.631683805896304573e-02
-4.577982621921820872e-02,-6.610478026410641916e-02
-4.580659435411799096e-02,-6.589354698091819118e-02
-4.583317220074411419e-02,-6.568313242734413748e-02
-4.585956150068543763e-02,-6.547353087328100507e-02
-4.588576397549252311e-02,-6.526473663999127206e-02
-4.591178132694955644e-02,-6.505674409952907911e-02
-4.593761523733994045e-02,-6.484954767416997723e-02
-4.596326736971679400e-02,-6.464314183584435325e-02
-4.598873936816839925e-02,-6.443752110559390622e-02
-4.601403285807010440e-02,-6.423268005301496775e-02
-4.603914944634484446e-02,-6.402861329572709370e-02
-4.606409072170708496e-02,-6.382531549882544675e-02
-4.608885825490875027e-02,-6.362278137438578951e-02
-4.611345359897803253e-02,-6.342100568091012247e-02
-4.613787828942143843e-02,-6.321998322279669125e-02
-4.616213384471393177e-02,-6.301970885001666189e-02
-4.618622176597198675e-02,-6.282017745728532554e-02
-4.621014353776621564e-02,-6.262138398383733373e-02
-4.623390062803101747e-02,-6.242332341285645320e-02
-4.625749448836769667e-02,-6.222599077099895404e-02
-4.628092655424535795e-02,-6.202938112791058639e-02
-4.630419824521615074e-02,-6.183348959577263104e-02
-4.632731096513668934e-02,-6.163831132883412778e-02
-4.635026610236100270e-02,-6.144384152296235996e-02
-4.637306502995347524e-02,-6.125007541518887738e-02
-4.639570910588707020e-02,-6.105700828326576096e-02
-4.641819967323922852e-02,-6.086463544523394026e-02
-4.644053806038734439e-02,-6.067295225898466926e-02
-4.646272558120160406e-02,-6.048195412183360320e-02
-4.648476353523255805e-02,-6.029163647010691435e-02
-4.650665320789616058e-02,-6.010199477871462637e-02
-4.652839587066137650e-02,-5.991302456074715926e-02
-4.654999278122462503e-02,-5.972472136706869633e-02
-4.657144518369100289e-02,-5.953708078591268132e-02
-4.659275430874806889e-02,-5.935009844249196365e-02
-4.661392137383765788e-02,-5.916376999860547409e-02
-4.663494758332598772e-02,-5.897809115225390725e-02
-4.665583412867227442e-02,-5.879305763725974771e-02
-4.667658218859268432e-02,-5.860866522288780273e-02
-4.669719292922142745e-02,-5.842490971347759354e-02
-4.671766750427101128e-02,-5.824178694807585072e-02
-4.673800705519277898e-02,-5.805929280007147281e-02
-4.675821271132465928e-02,-5.787742317684237831e-02
-4.677828559005452885e-02,-5.769617401940323881e-02
-4.679822679696013510e-02,-5.751554130204886151e-02
-4.681803742596756662e-02,-5.733552103201863814e-02
-4.683771855948859475e-02,-5.715610924914843460e-02
-4.685727126856976954e-02,-5.697730202554345674e-02
-4.687669661304139784e-02,-5.679909546523748826e-02
-4.689599564163428325e-02,-5.662148570386243279e-02
-4.691516939214580850e-02,-5.644446890833878377e-02
-4.693421889156333682e-02,-5.626804127653924764e-02
-4.695314515618029955e-02,-5.609219903700109200e-02
-4.697194919177283962e-02,-5.591693844855592094e-02
-4.699063199362471521e-02,-5.574225580013662806e-02
-4.700919454698482963e-02,-5.556814741024639764e-02
-4.702763782653943819e-02,-5.539460962694946894e-02
-4.704596279725575120e-02,-5.522163882736626228e-02
-4.706417041408916119e-02,-5.504923141746012605e-02
-4.708226162219051464e-02,-5.487738383171078538e-02
-4.710023735706470038e-02,-5.470609253285630552e-02
-4.711809854464015651e-02,-5.453535401159919499e-02
-4.713584610142798614e-02,-5.436516478632569954e-02
-4.715348093460641765e-02,-5.419552140282585251e-02
-4.717100394213615683e-02,-5.402642043402178240e-02
-4.718841601289518184e-02,-5.385785847970601947e-02
-4.720571802675520290e-02,-5.368983216625005522e-02
-4.722291085471451433e-02,-5.352233814638652359e-02
-4.723999535899357088e-02,-5.335537309888835344e-02
-4.725697239314476800e-02,-5.318893372835852007e-02
-4.727384280215092549e-02,-5.302301676495250332e-02
-4.729060742253220900e-02,-5.285761896413118666e-02
-4.730726708244260836e-02,-5.269273710640909325e-02
-4.732382260177436795e-02,-5.252836799712218285e-02
-4.734027479225155072e-02,-5.236450846616641508e-02
-4.735662445752840399e-02,-5.220115536776451931e-02
-4.737287239328373534e-02,-5.203830558023174457e-02
-4.738901938731740482e-02,-5.187595600573813998e-02
-4.740506621963948286e-02,-5.171410357007397152e-02
-4.742101366256286366e-02,-5.155274522242653951e-02
-4.743686248079701656e-02,-5.139187793514721908e-02
-4.745261343153139161e-02,-5.123149870353016500e-02
